app_completion_time,app_dag,app_id,app_name,app_start_time,bw,ds,framework,job_completion_time,job_id,job_stage_ids,job_submission_time,name,numTasks,outputBytes,random,stage_completion_time,stage_id,stage_input_bytes,stage_queue_time,stage_rdds,stage_run_time,stage_shuffle_read_bytes,stage_shuffle_write_bytes,stage_start_time,stage_submission_time,stride,app_runtime,feature,tables,prefetched_blocks,prefetched_bytes,bw_i,sequentials
1599317360134,"j:0,e:->0
j:0,e:->1
j:0,e:0->2
j:0,e:1->2
j:0,e:2->3
j:0,e:3->4
j:1,e:8->9
j:1,e:->5
j:1,e:->6
j:1,e:9->10
j:1,e:5->7
j:1,e:6->7
j:1,e:7->8
",app-20200905104849-0012,framework:spark-name:tpch13-bw:40Gbps-ds:20G-stride:80-random:ufhowguh,1599317328943,40Gbps,20G,spark,1599331759.0,1,"[9, 5, 6, 10, 7, 8]",1599331757.0,tpch13,200,0,ufhowguh,1599331758.0,9,0,0.0,"[53, 49, 48]",1.0,443676,2827,1599331757.0,1599331757.0,80,31191,HASHAGGREGATE,,0,0,40.0,2218.38
1599317360134,"j:0,e:->0
j:0,e:->1
j:0,e:0->2
j:0,e:1->2
j:0,e:2->3
j:0,e:3->4
j:1,e:8->9
j:1,e:->5
j:1,e:->6
j:1,e:9->10
j:1,e:5->7
j:1,e:6->7
j:1,e:7->8
",app-20200905104849-0012,framework:spark-name:tpch13-bw:40Gbps-ds:20G-stride:80-random:ufhowguh,1599317328943,40Gbps,20G,spark,1599331759.0,1,"[9, 5, 6, 10, 7, 8]",1599331757.0,tpch13,45,1121,ufhowguh,1599331759.0,10,0,0.0,"[55, 54]",1.0,2827,0,1599331758.0,1599331758.0,80,31191,SORT,,0,0,40.0,62.82
1599317360134,"j:0,e:->0
j:0,e:->1
j:0,e:0->2
j:0,e:1->2
j:0,e:2->3
j:0,e:3->4
j:1,e:8->9
j:1,e:->5
j:1,e:->6
j:1,e:9->10
j:1,e:5->7
j:1,e:6->7
j:1,e:7->8
",app-20200905104849-0012,framework:spark-name:tpch13-bw:40Gbps-ds:20G-stride:80-random:ufhowguh,1599317328943,40Gbps,20G,spark,1599331757.0,0,"[0, 1, 2, 3, 4]",1599331739.0,tpch13,40,0,ufhowguh,1599331749.0,0,3487488366,0.0,"[39, 37, 17, 18, 16, 19, 38]",10.0,0,311803649,1599331739.0,1599331739.0,80,31191,SCAN:FILTER,orders,665,2789212160,40.0,87187209.15
1599317360134,"j:0,e:->0
j:0,e:->1
j:0,e:0->2
j:0,e:1->2
j:0,e:2->3
j:0,e:3->4
j:1,e:8->9
j:1,e:->5
j:1,e:->6
j:1,e:9->10
j:1,e:5->7
j:1,e:6->7
j:1,e:7->8
",app-20200905104849-0012,framework:spark-name:tpch13-bw:40Gbps-ds:20G-stride:80-random:ufhowguh,1599317328943,40Gbps,20G,spark,1599331757.0,0,"[0, 1, 2, 3, 4]",1599331739.0,tpch13,40,0,ufhowguh,1599331744.0,1,487806602,0.0,"[34, 1, 2, 32, 33, 0, 3]",5.0,0,15763660,1599331739.0,1599331739.0,80,31191,SCAN,customer,80,335544320,40.0,12195165.05
1599317360134,"j:0,e:->0
j:0,e:->1
j:0,e:0->2
j:0,e:1->2
j:0,e:2->3
j:0,e:3->4
j:1,e:8->9
j:1,e:->5
j:1,e:->6
j:1,e:9->10
j:1,e:5->7
j:1,e:6->7
j:1,e:7->8
",app-20200905104849-0012,framework:spark-name:tpch13-bw:40Gbps-ds:20G-stride:80-random:ufhowguh,1599317328943,40Gbps,20G,spark,1599331757.0,0,"[0, 1, 2, 3, 4]",1599331739.0,tpch13,200,0,ufhowguh,1599331754.0,2,0,0.0,"[44, 36, 41, 43, 42, 40, 35]",5.0,327567309,17881498,1599331749.0,1599331749.0,80,31191,SORT:SORTMERGEJOIN:HASHAGGREGATE,,0,0,40.0,1637836.54
1599317360134,"j:0,e:->0
j:0,e:->1
j:0,e:0->2
j:0,e:1->2
j:0,e:2->3
j:0,e:3->4
j:1,e:8->9
j:1,e:->5
j:1,e:->6
j:1,e:9->10
j:1,e:5->7
j:1,e:6->7
j:1,e:7->8
",app-20200905104849-0012,framework:spark-name:tpch13-bw:40Gbps-ds:20G-stride:80-random:ufhowguh,1599317328943,40Gbps,20G,spark,1599331757.0,0,"[0, 1, 2, 3, 4]",1599331739.0,tpch13,200,0,ufhowguh,1599331756.0,3,0,0.0,"[47, 45, 46]",2.0,17881498,443676,1599331754.0,1599331754.0,80,31191,HASHAGGREGATE,,0,0,40.0,89407.49
1599317360134,"j:0,e:->0
j:0,e:->1
j:0,e:0->2
j:0,e:1->2
j:0,e:2->3
j:0,e:3->4
j:1,e:8->9
j:1,e:->5
j:1,e:->6
j:1,e:9->10
j:1,e:5->7
j:1,e:6->7
j:1,e:7->8
",app-20200905104849-0012,framework:spark-name:tpch13-bw:40Gbps-ds:20G-stride:80-random:ufhowguh,1599317328943,40Gbps,20G,spark,1599331757.0,0,"[0, 1, 2, 3, 4]",1599331739.0,tpch13,200,0,ufhowguh,1599331757.0,4,0,0.0,"[52, 49, 48, 51, 50]",1.0,443676,0,1599331756.0,1599331756.0,80,31191,HASHAGGREGATE,,0,0,40.0,2218.38
1599317508530,"j:0,e:->0
j:0,e:->1
j:0,e:4->5
j:0,e:0->2
j:0,e:1->2
j:0,e:->3
j:0,e:2->4
j:0,e:3->4
j:1,e:6->9
j:1,e:7->9
j:1,e:->6
j:1,e:9->10
j:1,e:8->10
j:1,e:->7
j:1,e:10->11
j:1,e:->8
j:2,e:12->15
j:2,e:13->15
j:2,e:->12
j:2,e:15->16
j:2,e:14->16
j:2,e:->13
j:2,e:16->17
j:2,e:17->18
j:2,e:->14
",app-20200905105112-0013,framework:spark-name:tpch11-bw:5Gbps-ds:20G-stride:60-random:phbqgajg,1599317471932,5Gbps,20G,spark,1599331908.0,2,"[15, 12, 16, 13, 17, 18, 14]",1599331907.0,tpch11,200,0,phbqgajg,1599331908.0,17,0,0.0,"[74, 68, 70, 67, 69]",1.0,12141243,0,1599331907.0,1599331907.0,60,36598,HASHAGGREGATE,,0,0,5.0,60706.22
1599317508530,"j:0,e:->0
j:0,e:->1
j:0,e:4->5
j:0,e:0->2
j:0,e:1->2
j:0,e:->3
j:0,e:2->4
j:0,e:3->4
j:1,e:6->9
j:1,e:7->9
j:1,e:->6
j:1,e:9->10
j:1,e:8->10
j:1,e:->7
j:1,e:10->11
j:1,e:->8
j:2,e:12->15
j:2,e:13->15
j:2,e:->12
j:2,e:15->16
j:2,e:14->16
j:2,e:->13
j:2,e:16->17
j:2,e:17->18
j:2,e:->14
",app-20200905105112-0013,framework:spark-name:tpch11-bw:5Gbps-ds:20G-stride:60-random:phbqgajg,1599317471932,5Gbps,20G,spark,1599331908.0,2,"[15, 12, 16, 13, 17, 18, 14]",1599331907.0,tpch11,1,0,phbqgajg,1599331908.0,18,0,0.0,"[76, 75]",0.0,0,0,1599331908.0,1599331908.0,60,36598,SORT,,0,0,5.0,0.0
1599317508530,"j:0,e:->0
j:0,e:->1
j:0,e:4->5
j:0,e:0->2
j:0,e:1->2
j:0,e:->3
j:0,e:2->4
j:0,e:3->4
j:1,e:6->9
j:1,e:7->9
j:1,e:->6
j:1,e:9->10
j:1,e:8->10
j:1,e:->7
j:1,e:10->11
j:1,e:->8
j:2,e:12->15
j:2,e:13->15
j:2,e:->12
j:2,e:15->16
j:2,e:14->16
j:2,e:->13
j:2,e:16->17
j:2,e:17->18
j:2,e:->14
",app-20200905105112-0013,framework:spark-name:tpch11-bw:5Gbps-ds:20G-stride:60-random:phbqgajg,1599317471932,5Gbps,20G,spark,1599331906.0,1,"[9, 6, 10, 7, 11, 8]",1599331896.0,tpch11,200,0,phbqgajg,1599331903.0,10,0,0.0,"[66, 62, 65, 64, 45, 58, 63]",4.0,320424813,12141243,1599331899.0,1599331899.0,60,36598,SORT:SORTMERGEJOIN:HASHAGGREGATE,,0,0,5.0,1602124.06
